100 Club of Arizona,Safety,"333 N 44th St #100, Phoenix, AZ 85008",(602) 485-0100,100club.org
Music Therapy Services of Arizona,Disability,"2702 N 3rd St, Phoenix, AZ 85004",(602) 840-6410,nmtsa.org
NAACP,Race,"Naacp East, Mesa, AZ 85201",(480) 464-1808,naacp.org
NAMI,Health,"5025 E Washington St # 112, Phoenix, AZ 85034",(602) 244-8166,nami.org
NAMI Valley of the Sun,Health,"5025 E Washington St #112, Phoenix, AZ 85034",(602) 244-8166,namivalleyofthesun.org
National Multiple Sclerosis,Health,"5025 E Washington St # 102, Phoenix, AZ 85034",(800) 344-4867,nationalmssociety.org
New Pathways for Youth,Youth,"1001 E Pierce St, Phoenix, AZ 85006",(602) 258-1012,npfy.org
One n Ten,Youth,"1101 N Central Ave #202, Phoenix, AZ 85004",(602) 400-2601,1n10.org
Phoenix Community Alliance,Community,"CityScape, 1 E Washington St #230, Phoenix, AZ 85004",(602) 682-6612,http://www.phoenixcommunityalliance.com/
Phoenix Day Child & Family,Healthcare,"115 E Tonto St, Phoenix, AZ 85004",(602) 252-4911,phoenixday.org
Phoenix Pride,LGBT,"1430 N 5th St, Phoenix, AZ 85004",(602) 277-7433,http://phoenixpride.org/
Plan of Arizona,Business,"5025 E Washington St # 112, Phoenix, AZ 85034",(602) 354-4307,planofaz.org
Raising Special Kids,Children,"5025 Washington St # 204, Phoenix, AZ 85034",(602) 242-4366,raisingspecialkids.org
Ronald McDonald House of Phoenix,Children,"501 E Roanoke Ave, Phoenix, AZ 85004",(602) 264-2654,rmhcphoenix.com
SABEW,Journalism,"555 N Central Ave #416, Phoenix, AZ 85004",(602) 496-7862,sabew.org
Sandra Day O'Connor Institute,Policies,"Arizona Center for Law and Society at ASU, 111 E Taylor St #9220, Phoenix, AZ 85004",(602) 730-3300,oconnorinstitute.org
Science Foundation Arizona,Business,"400 E Van Buren St, Phoenix, AZ 85004",(602) 682-2800,sfaz.org
SEED SPOT,Business,"SEED SPOT, 502 S 2nd Street, Ste. 1, Phoenix, AZ 85004",(602) 456-9944,seedspot.org
Stand for Children,Children,"649 N 4th Ave, #A, Phoenix, AZ 85003",(602) 595-6944,stand.org
Statewide Independent Living Council,Community,"5025 Washington St #214, Phoenix, AZ 85034",(602) 262-2900,azsilc.org
Tanner Community Development,Social Service,"700 E Jefferson St # 200, Phoenix, AZ 85034",(602) 253-6904,tcdccorp.org
UFW Foundation,Community,"1440 E Washington St #210, Phoenix, AZ 85034",(602) 889-0933,http://www.ufwfoundation.org/
ULI Arizona District Council,Research and Education,"234 N Central Ave #9401, Phoenix, AZ 85004",(480) 727-9889,arizona.uli.org
Valley Center of the Deaf,Deaf,"5025 E Washington St, Phoenix, AZ 85034",(602) 267-1921,vcdaz.org
Valley Youth Theatre,Youth,"525 N 1st St, Phoenix, AZ 85004",(602) 253-8188,vyt.com
Wheels For Wishes Car Donation,Charity,"40 N Central Ave #1400, Phoenix, AZ 85004",(855) 276-9474,arizona.wheelsforwishes.org
Yellow Brick Road Preschools,Children,"392 E Windsor Ave, Phoenix, AZ 85004",(602) 265-9424,ybrchild.com
Yoga Phoenix,Yoga,"2308 N Richland St, Phoenix, AZ 85006",(602) 271-4480,yogaphoenix.com
Young Sounds of Arizona,Music,"1202 E Oak St, Phoenix, AZ 85006",(602) 253-5406,youngsounds.org
Arizona PIRG,Consumer,"130 N Central Ave # 202, Phoenix, AZ 85004",(602) 252-9227,arizonapirg.org
1MISSION,Poverty,"1 N 1st St #612, Phoenix, AZ 85004",(602) 635-7500,1mission.org
Phoenix Copmea,City Employee,"251 W Washington St, Phoenix, AZ 85003",(602) 262-6858,copmea.com
Friendly House,Education,"113 W Sherman St, Phoenix, AZ 85004",(602) 257-1870,friendlyhouse.org
National Canine Cancer Foundation,Animal,"40 N Central Ave #1400, Phoenix, AZ 85004",(866) 262-0542,wearethecure.org
Lincoln Family Downtown YMCA,Community,"350 1st Ave, Phoenix, AZ 85003",(602) 252-2610,valleyymca.org
Urban Land Institute,Education,"234 S Central Ave #9401, Phoenix, AZ 85004",(480) 727-9889,arizona.uli.org
Connect 60 Plus,Community,"Compass Bank, 302 N 1st Ave #300, Phoenix, AZ 85003",(602) 452-5074,connect60plus.com
Alliance for Innovation,Community,"411 N Central Ave Ste. 400, Phoenix, AZ 85004",(888) 496-0944,transformgov.org
Valley of the Sun YMCA,Community,"350 N 1st Ave, Phoenix, AZ 85003",(602) 257-5120,ymca.net
Arizona Bankers Association,Business,"111 W Monroe St # 440, Phoenix, AZ 85003",(602) 258-1200,azbankers.org
Local Initiatives Support Corporation,Business,"111 W Monroe St # 720, Phoenix, AZ 85003",(602) 252-6315,lisc.org
Environment Arizona Research & Policy Center,Environment,"130 N Central Ave #202, Phoenix, AZ 85004",(602) 252-9225,environmentarizonacenter.org
Arizona Latino Arts and Cultural Center (ALAC),Art,"147 E Adams St, Phoenix, AZ 85004",(602) 254-9817,alacaz.org
National Canine Cancer Foundation,Animal,"40 N Central Ave #1400, Phoenix, AZ 85004",(866) 262-0542,wearethecure.org
Nabi Foundation,Youth,"Phoenix, AZ 85002",(480) 446-7052,nabifoundation.org
Fellowship Christian Athletes,Church,"1 N 1st St #700, Phoenix, AZ 85004",(602) 264-8575,azfca.org
The Roman Catholic Diocese of Phoenix,Church,"400 E Monroe St, Phoenix, AZ 85004",(602) 354-2000,dphx.org
ASU American Dream Academy,Education,"542 E Monroe St, Phoenix, AZ 85004",,eoss.asu.edu
OIC,Employment,"39 E Jackson St, Phoenix, AZ 85004",(602) 254-5081,azoic.org
Artlink Inc.,Community,"132 S Central Ave, Phoenix, AZ 85004",(602) 256-7539,artlinkphoenix.com
Raza Development Fund,Business,"CityScape, 1 E Washington St #2250, Phoenix, AZ 85004",(602) 417-1400,razafund.org
Dorrance Planetarium,Education,"Arizona Science Center, 600 E Washington St, Phoenix, AZ 85004",(602) 716-2000,azscience.org
